iter	Passed	Remaining
0	146	146172
1	148	74265
2	151	50260
3	153	38232
4	156	31200
5	159	26358
6	161	22933
7	164	20338
8	166	18332
9	168	16658
10	169	15257
11	171	14132
12	173	13196
13	175	12380
14	177	11684
15	179	11023
16	180	10439
17	181	9927
18	183	9469
19	184	9062
20	186	8701
21	188	8359
22	189	8067
23	191	7780
24	192	7518
25	194	7276
26	195	7037
27	196	6829
28	198	6634
29	199	6446
30	200	6270
31	201	6101
32	203	5956
33	204	5820
34	206	5683
35	207	5547
36	208	5420
37	209	5297
38	210	5184
39	211	5080
40	212	4978
41	213	4876
42	214	4775
43	215	4682
44	216	4601
45	218	4524
46	219	4450
47	220	4375
48	221	4304
49	222	4232
50	223	4163
51	224	4095
52	225	4032
53	226	3970
54	227	3909
55	228	3850
56	229	3793
57	230	3737
58	231	3686
59	232	3635
60	233	3589
61	234	3544
62	235	3499
63	236	3456
64	237	3412
65	238	3369
66	239	3328
67	239	3288
68	240	3249
69	241	3213
70	242	3175
71	243	3139
72	244	3104
73	245	3070
74	246	3036
75	247	3004
76	248	2975
77	249	2947
78	250	2919
79	251	2890
80	252	2863
81	253	2835
82	253	2803
83	254	2776
84	255	2749
85	256	2723
86	257	2697
87	258	2674
88	258	2650
89	259	2627
90	260	2604
91	261	2582
92	262	2563
93	264	2546
94	265	2527
95	266	2508
96	267	2490
97	268	2470
98	269	2451
99	270	2433
100	271	2416
101	272	2399
102	273	2385
103	275	2370
104	276	2354
105	277	2341
106	279	2330
107	280	2315
108	281	2300
109	282	2285
110	283	2270
111	284	2255
112	285	2242
113	286	2228
114	288	2217
115	289	2206
116	290	2192
117	291	2181
118	293	2171
119	294	2160
120	295	2148
121	296	2135
122	297	2123
123	298	2111
124	299	2099
125	301	2092
126	302	2079
127	303	2068
128	304	2057
129	305	2046
130	307	2037
131	308	2028
132	309	2019
133	311	2010
134	312	2000
135	313	1990
136	314	1983
137	316	1975
138	317	1966
139	318	1958
140	320	1949
141	320	1937
142	322	1931
143	323	1924
144	324	1915
145	326	1908
146	327	1899
147	328	1891
148	329	1883
149	330	1875
150	332	1868
151	333	1862
152	335	1854
153	336	1848
154	338	1842
155	339	1836
156	340	1829
157	341	1821
158	343	1814
159	344	1807
160	344	1797
161	346	1790
162	347	1783
163	348	1775
164	349	1769
165	350	1762
166	352	1755
167	353	1750
168	354	1744
169	355	1737
170	357	1732
171	358	1725
172	359	1720
173	360	1713
174	362	1707
175	363	1700
176	364	1694
177	365	1687
178	366	1682
179	368	1677
180	369	1671
181	370	1666
182	371	1660
183	373	1654
184	374	1648
185	375	1642
186	376	1636
187	377	1631
188	378	1625
189	379	1619
190	381	1615
191	382	1611
192	384	1605
193	385	1601
194	386	1596
195	387	1591
196	389	1585
197	390	1581
198	391	1576
199	392	1571
200	393	1565
201	395	1560
202	396	1557
203	398	1553
204	399	1550
205	400	1545
206	402	1540
207	403	1535
208	404	1530
209	405	1526
210	406	1520
211	407	1516
212	409	1512
213	410	1508
214	412	1504
215	413	1501
216	415	1497
217	416	1493
218	417	1489
219	419	1486
220	420	1482
221	422	1478
222	423	1475
223	424	1471
224	426	1469
225	428	1467
226	429	1462
227	430	1458
228	431	1454
229	433	1449
230	434	1445
231	435	1441
232	436	1437
233	437	1432
234	438	1429
235	441	1427
236	442	1425
237	444	1421
238	445	1417
239	446	1413
240	447	1409
241	448	1405
242	449	1401
243	450	1396
244	451	1392
245	453	1389
246	455	1387
247	456	1385
248	458	1382
249	459	1378
250	460	1375
251	461	1371
252	463	1367
253	464	1363
254	465	1359
255	466	1356
256	467	1352
257	469	1348
258	470	1346
259	472	1343
260	473	1339
261	474	1336
262	475	1332
263	476	1328
264	477	1324
265	478	1321
266	479	1317
267	481	1313
268	482	1309
269	483	1307
270	485	1305
271	486	1302
272	488	1299
273	489	1296
274	490	1292
275	491	1288
276	492	1285
277	493	1281
278	494	1278
279	495	1275
280	497	1272
281	498	1269
282	500	1267
283	501	1264
284	502	1261
285	503	1258
286	505	1255
287	506	1252
288	507	1249
289	509	1246
290	510	1243
291	511	1240
292	512	1237
293	514	1235
294	515	1232
295	517	1229
296	518	1226
297	519	1223
298	520	1220
299	521	1216
300	522	1214
301	524	1211
302	525	1208
303	526	1205
304	527	1202
305	529	1200
306	530	1197
307	531	1195
308	533	1192
309	534	1189
310	535	1186
311	536	1183
312	537	1179
313	539	1177
314	540	1174
315	541	1172
316	542	1169
317	544	1167
318	545	1164
319	546	1161
320	547	1159
321	549	1156
322	550	1153
323	551	1150
324	552	1148
325	553	1145
326	555	1142
327	556	1139
328	557	1136
329	558	1134
330	559	1131
331	561	1129
332	562	1126
333	563	1123
334	564	1121
335	566	1118
336	567	1116
337	568	1114
338	570	1111
339	571	1109
340	573	1109
341	575	1107
342	577	1105
343	578	1102
344	579	1100
345	580	1098
346	582	1095
347	583	1093
348	584	1090
349	585	1087
350	586	1085
351	589	1084
352	590	1082
353	592	1080
354	593	1078
355	594	1076
356	596	1073
357	597	1071
358	599	1069
359	600	1068
360	602	1066
361	604	1065
362	606	1063
363	607	1061
364	609	1059
365	610	1057
366	611	1055
367	613	1053
368	614	1051
369	616	1049
370	618	1048
371	619	1046
372	621	1044
373	622	1042
374	624	1040
375	625	1037
376	626	1035
377	627	1033
378	629	1030
379	630	1028
380	631	1025
381	633	1024
382	634	1022
383	636	1020
384	637	1018
385	639	1016
386	640	1014
387	641	1012
388	643	1010
389	644	1008
390	645	1006
391	647	1004
392	649	1002
393	650	1000
394	652	998
395	653	996
396	654	994
397	655	991
398	657	989
399	658	987
400	659	985
401	661	983
402	662	982
403	664	980
404	666	978
405	667	976
406	668	974
407	669	971
408	671	970
409	672	968
410	674	966
411	675	964
412	677	962
413	679	961
414	681	960
415	682	958
416	684	956
417	685	954
418	686	952
419	687	949
420	689	947
421	690	945
422	692	944
423	694	943
424	695	941
425	697	939
426	698	936
427	700	935
428	701	933
429	702	931
430	704	929
431	706	929
432	708	927
433	709	925
434	711	924
435	713	922
436	714	920
437	716	918
438	717	916
439	719	915
440	721	914
441	724	914
442	726	912
443	727	910
444	728	908
445	731	908
446	732	906
447	734	904
448	737	904
449	739	903
450	741	902
451	742	900
452	744	898
453	745	896
454	747	894
455	748	893
456	752	893
457	754	892
458	756	892
459	758	890
460	760	888
461	761	886
462	763	885
463	764	883
464	766	882
465	769	881
466	771	880
467	772	878
468	774	876
469	775	875
470	777	873
471	779	871
